epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0021,3.04065,5.3159,2.13165,0.00013,0.01667,7e-05,4e-05,2.63328,4.82364,1.8797,6.668e-05,6.668e-05,6.668e-05
2,40.7235,2.37567,4.54713,1.74158,0.00429,0.65,0.00436,0.00232,1.79087,4.02896,1.31469,0.000147059,0.000147059,0.000147059
3,61.6222,2.06811,3.45898,1.40742,0.00525,0.8,0.00689,0.00342,1.56717,3.8092,1.2065,0.000224138,0.000224138,0.000224138
4,81.9893,1.8722,2.23163,1.3066,0.00564,0.85,0.00801,0.00374,1.50168,3.70628,1.15524,0.000297916,0.000297916,0.000297916
5,102.318,1.92268,1.99758,1.34335,0.0059,0.88333,0.00937,0.00422,1.51589,3.68997,1.18491,0.000368394,0.000368394,0.000368394
6,123.062,1.77635,1.91666,1.29867,0.00612,0.9,0.01063,0.00473,1.68308,3.60203,1.21014,0.00043557,0.00043557,0.00043557
7,144.02,1.71691,1.64324,1.25326,0.00613,0.88333,0.4379,0.28338,1.49087,3.49309,1.15825,0.000499447,0.000499447,0.000499447
8,164.94,1.72751,1.58752,1.26338,0.00677,0.93333,0.31469,0.19586,1.52936,3.48652,1.16731,0.000560022,0.000560022,0.000560022
9,185.837,1.76983,1.48944,1.23429,0.00639,0.86667,0.17712,0.11256,1.5244,3.56277,1.17314,0.000617297,0.000617297,0.000617297
10,206.584,1.6945,1.46415,1.21885,0.0068,0.91667,0.22285,0.11942,1.6132,3.5141,1.20922,0.000671271,0.000671271,0.000671271
11,226.996,1.70572,1.36314,1.25999,0.00659,0.91667,0.61101,0.3704,1.403,3.3391,1.15643,0.000721944,0.000721944,0.000721944
12,247.105,1.68436,1.34007,1.24112,0.00687,0.96667,0.66353,0.38331,1.40541,3.20546,1.16431,0.000769317,0.000769317,0.000769317
13,268.034,1.63047,1.37642,1.23244,0.00652,0.93333,0.60563,0.35396,1.40806,3.21094,1.16412,0.000813389,0.000813389,0.000813389
14,289.092,1.63707,1.30915,1.2056,0.0063,0.91667,0.77425,0.41998,1.48326,3.07666,1.1858,0.000854161,0.000854161,0.000854161
15,310.641,1.58769,1.26033,1.19105,0.00627,0.91667,0.76875,0.44334,1.53941,2.86833,1.20842,0.000891632,0.000891632,0.000891632
16,334.137,1.69991,1.2882,1.2412,0.98906,0.54086,0.83885,0.47723,1.42837,2.78525,1.17256,0.000925802,0.000925802,0.000925802
17,357.876,1.60208,1.19692,1.21012,1,0.57076,0.91865,0.5615,1.36793,2.55499,1.15574,0.000956671,0.000956671,0.000956671
18,382.336,1.58465,1.17127,1.20249,1,0.50806,0.93188,0.54897,1.36598,2.36192,1.16397,0.00098424,0.00098424,0.00098424
19,406.062,1.48434,1.22027,1.15908,1,0.60003,0.9401,0.51456,1.44474,2.24782,1.18104,0.00100851,0.00100851,0.00100851
20,430.701,1.57209,1.15796,1.14165,1,0.56013,0.96485,0.53428,1.42832,2.09391,1.17986,0.00102948,0.00102948,0.00102948
21,455.181,1.56407,1.22568,1.19649,0.99124,0.73705,0.95882,0.54357,1.46997,1.90756,1.21121,0.00100687,0.00100687,0.00100687
22,479.953,1.52237,1.06944,1.17232,0.99333,0.93872,0.9452,0.53585,1.51884,1.71894,1.23279,0.000973861,0.000973861,0.000973861
23,503.279,1.55481,1.14968,1.17124,0.99568,0.93989,0.9452,0.53869,1.49011,1.70867,1.21683,0.000940855,0.000940855,0.000940855
24,525.89,1.50571,1.10551,1.17187,0.9708,0.92746,0.95626,0.56079,1.40342,1.66333,1.1867,0.000907848,0.000907848,0.000907848
25,549.259,1.51435,1.04421,1.16882,0.9786,0.93333,0.95971,0.57304,1.38837,1.43697,1.18733,0.000874842,0.000874842,0.000874842
26,572.114,1.43745,1.05164,1.15882,0.97324,0.93784,0.96324,0.5773,1.39296,1.26312,1.19161,0.000841835,0.000841835,0.000841835
27,595.155,1.5117,1.04863,1.19073,0.96791,0.95,0.9621,0.56435,1.40681,1.28529,1.18776,0.000808828,0.000808828,0.000808828
28,618.385,1.53095,1.06743,1.17919,0.98801,0.93333,0.97839,0.56132,1.34842,1.36311,1.17082,0.000775822,0.000775822,0.000775822
29,642.039,1.50578,1.0408,1.14575,0.98966,0.92752,0.96157,0.57058,1.35338,1.24424,1.17453,0.000742815,0.000742815,0.000742815
30,667.525,1.44204,1.01254,1.16,0.98821,0.94439,0.96441,0.59194,1.34619,1.14667,1.17508,0.000709809,0.000709809,0.000709809
31,692.583,1.46654,0.96365,1.12348,0.98708,0.95983,0.9651,0.58964,1.33473,1.10734,1.17453,0.000676802,0.000676802,0.000676802
32,716.125,1.46174,0.97743,1.1772,0.98027,0.95,0.96441,0.60298,1.27092,1.10181,1.15016,0.000643795,0.000643795,0.000643795
33,738.573,1.4893,0.97927,1.15856,0.95492,0.96667,0.96337,0.59323,1.32431,1.09221,1.16771,0.000610789,0.000610789,0.000610789
34,758.657,1.41581,0.95686,1.14587,0.96891,0.96667,0.96389,0.6029,1.3462,1.05864,1.1884,0.000577782,0.000577782,0.000577782
35,780.14,1.44194,0.93826,1.1178,0.97958,0.95,0.96376,0.60428,1.32254,1.01749,1.18691,0.000544776,0.000544776,0.000544776
36,804.192,1.49295,0.95537,1.1417,0.97947,0.9805,0.97956,0.62053,1.2898,0.9492,1.17623,0.000511769,0.000511769,0.000511769
37,828.507,1.4245,0.93097,1.15295,0.96433,0.96649,0.96276,0.62523,1.26672,0.94589,1.16198,0.000478762,0.000478762,0.000478762
38,852.965,1.43797,0.94161,1.15391,0.95795,0.96667,0.96337,0.62131,1.32289,0.9684,1.16924,0.000445756,0.000445756,0.000445756
39,876.16,1.4238,0.90814,1.1179,0.95796,0.96667,0.96044,0.57961,1.38732,0.98209,1.18268,0.000412749,0.000412749,0.000412749
40,898.981,1.48604,0.94675,1.15148,0.98492,0.95707,0.96509,0.59631,1.33346,0.93877,1.16563,0.000379743,0.000379743,0.000379743
41,922.682,1.45459,1.09444,1.21261,0.97496,0.96667,0.95871,0.59197,1.32816,0.92796,1.16319,0.000346736,0.000346736,0.000346736
42,946.599,1.37269,1.06478,1.19149,0.97288,0.96667,0.9506,0.57438,1.35674,0.95141,1.16927,0.000313729,0.000313729,0.000313729
43,970.076,1.38363,1.05373,1.16938,0.95114,0.96667,0.94849,0.56149,1.43762,0.98334,1.19098,0.000280723,0.000280723,0.000280723
44,994.761,1.41849,1.08065,1.19007,0.9488,0.96667,0.96238,0.58481,1.36527,0.96401,1.1681,0.000247716,0.000247716,0.000247716
45,1018.96,1.35946,1.02752,1.17766,0.95058,0.96667,0.96349,0.60395,1.28388,0.93076,1.14824,0.00021471,0.00021471,0.00021471
46,1044.27,1.33945,1.00782,1.14891,0.9697,0.96667,0.95405,0.62447,1.23847,0.8998,1.13869,0.000181703,0.000181703,0.000181703
47,1068.87,1.33043,1.00491,1.16995,0.97459,0.96667,0.95698,0.63189,1.22436,0.87713,1.13563,0.000148696,0.000148696,0.000148696
48,1092.9,1.32941,1.01524,1.13424,0.97635,0.96667,0.96043,0.64196,1.21469,0.85112,1.13111,0.00011569,0.00011569,0.00011569
49,1117.62,1.33802,0.99179,1.14683,0.97537,0.96667,0.96094,0.64764,1.21175,0.84475,1.12965,8.26832e-05,8.26832e-05,8.26832e-05
50,1142.4,1.32052,1.00871,1.15072,0.97434,0.96667,0.96094,0.64977,1.21041,0.83777,1.12958,4.96766e-05,4.96766e-05,4.96766e-05
